Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2025-06-04 16:52,TSL,3375.32,1,3373.01,332.56,0.07,0,476.53,0.10,-483.73,-0.10,332.56,0.03,77
1,Entry long,2025-06-04 15:35,M1 scalp up,3373.01,1,3373.01,332.56,0.07,0,476.53,0.10,-483.73,-0.10,332.56,0.03,77
2,Exit long,2025-06-04 17:23,TSL,3376.04,2,6749.42,382.95,0.04,0,526.92,0.05,-477.97,-0.05,715.51,0.07,22
2,Entry long,2025-06-04 17:01,M1 scalp up,3374.71,2,6749.42,382.95,0.04,0,526.92,0.05,-477.97,-0.05,715.51,0.07,22
3,Exit long,2025-06-04 17:33,TSL,3377.51,2,6747.98,1013.52,0.10,0,1157.49,0.12,-34.55,0.00,1729.03,0.17,7
3,Entry long,2025-06-04 17:26,M1 scalp up,3373.99,2,6747.98,1013.52,0.10,0,1157.49,0.12,-34.55,0.00,1729.03,0.17,7
4,Exit long,2025-06-04 18:08,TSL,3381.21,1,3379.03,313.85,0.06,0,457.81,0.09,-136.77,-0.03,2042.88,0.20,15
4,Entry long,2025-06-04 17:53,M1 scalp up,3379.03,1,3379.03,313.85,0.06,0,457.81,0.09,-136.77,-0.03,2042.88,0.20,15
5,Exit long,2025-06-04 20:08,TSL,3373.82,2,6745.26,342.64,0.04,0,486.61,0.05,-541.31,-0.06,2385.52,0.24,29
5,Entry long,2025-06-04 19:39,M1 scalp up,3372.63,2,6745.26,342.64,0.04,0,486.61,0.05,-541.31,-0.06,2385.52,0.24,29
6,Exit long,2025-06-04 20:30,TSL,3373.59,2,6745.14,293.69,0.03,0,437.66,0.05,-374.31,-0.04,2679.21,0.27,9
6,Entry long,2025-06-04 20:21,M1 scalp up,3372.57,2,6745.14,293.69,0.03,0,437.66,0.05,-374.31,-0.04,2679.21,0.27,9
7,Exit long,2025-06-04 20:52,SL,3371.99,2,6747.62,-524.04,-0.05,0,97.9,0.01,-524.04,-0.05,2155.17,0.22,8
7,Entry long,2025-06-04 20:44,M1 scalp up,3373.81,2,6747.62,-524.04,-0.05,0,97.9,0.01,-524.04,-0.05,2155.17,0.22,8
8,Exit long,2025-06-04 22:01,TSL,3373.51,2,6743.98,434,0.05,0,822.31,0.09,-71.98,-0.01,2589.17,0.26,2
8,Entry long,2025-06-04 20:59,M1 scalp up,3371.99,2,6743.98,434,0.05,0,822.31,0.09,-71.98,-0.01,2589.17,0.26,2
9,Exit short,2025-06-05 16:51,SL,3354.58,1,3349.7,-696.68,-0.15,0,326.93,0.07,-696.68,-0.15,1892.49,0.19,15
9,Entry short,2025-06-05 16:36,M1 scalp down,3349.7,1,3349.7,-696.68,-0.15,0,326.93,0.07,-696.68,-0.15,1892.49,0.19,15
10,Exit short,2025-06-05 18:54,SL,3355.97,1,3352.32,-521.08,-0.11,0,319.79,0.07,-521.08,-0.11,1371.4,0.14,95
10,Entry short,2025-06-05 17:19,M1 scalp down,3352.32,1,3352.32,-521.08,-0.11,0,319.79,0.07,-521.08,-0.11,1371.4,0.14,95
11,Exit short,2025-06-05 19:48,TSL,3353.9,1,3357.5,513.95,0.11,0,656.71,0.14,-38.55,-0.01,1885.35,0.19,5
