Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
1,Exit long,2025-09-02 15:46,TSL,3515.58,1,3512.11,510.68,0.10,0,657.85,0.13,-70.64,-0.01,510.68,0.05,5
1,Entry long,2025-09-02 15:41,M1 scalp up,3512.11,1,3512.11,510.68,0.10,0,657.85,0.13,-70.64,-0.01,510.68,0.05,5
2,Exit long,2025-09-02 16:53,TSL,3527.69,1,3525.36,342.91,0.07,0,490.08,0.09,-8.83,0.00,853.59,0.09,9
2,Entry long,2025-09-02 16:44,M1 scalp up,3525.36,1,3525.36,342.91,0.07,0,490.08,0.09,-8.83,0.00,853.59,0.09,9
3,Exit long,2025-09-02 17:03,SL,3522.53,1,3525.98,-507.74,-0.10,0,23.55,0.00,-507.74,-0.10,345.85,0.03,1
3,Entry long,2025-09-02 17:02,M1 scalp up,3525.98,1,3525.98,-507.74,-0.10,0,23.55,0.00,-507.74,-0.10,345.85,0.03,1
4,Exit long,2025-09-02 18:13,TSL,3529.02,1,3526.89,313.47,0.06,0,460.64,0.09,-303.17,-0.06,659.32,0.07,38
4,Entry long,2025-09-02 17:35,M1 scalp up,3526.89,1,3526.89,313.47,0.06,0,460.64,0.09,-303.17,-0.06,659.32,0.07,38
5,Exit long,2025-09-02 19:53,SL,3535.83,2,7076.2,-668.15,-0.06,0,47.09,0.00,-668.15,-0.06,-8.83,0.00,0
5,Entry long,2025-09-02 19:53,M1 scalp up,3538.1,2,7076.2,-668.15,-0.06,0,47.09,0.00,-668.15,-0.06,-8.83,0.00,0
6,Exit long,2025-09-02 20:59,SL,3533.11,1,3536.02,-428.26,-0.08,0,73.58,0.01,-428.26,-0.08,-437.09,-0.04,45
6,Entry long,2025-09-02 20:14,M1 scalp up,3536.02,1,3536.02,-428.26,-0.08,0,73.58,0.01,-428.26,-0.08,-437.09,-0.04,45
7,Exit long,2025-09-03 16:33,TSL,3567.7,1,3563.21,666.15,0.13,0,814.51,0.15,-299.69,-0.06,229.05,0.02,54
7,Entry long,2025-09-03 15:39,M1 scalp up,3563.21,1,3563.21,666.15,0.13,0,814.51,0.15,-299.69,-0.06,229.05,0.02,54
8,Exit long,2025-09-03 17:15,TSL,3572.18,2,7141.82,376.84,0.04,0,611.25,0.06,-207.71,-0.02,605.89,0.06,6
8,Entry long,2025-09-03 17:09,M1 scalp up,3570.91,2,7141.82,376.84,0.04,0,611.25,0.06,-207.71,-0.02,605.89,0.06,6
9,Exit long,2025-09-03 17:30,TSL,3571.73,2,7142.22,183.97,0.02,0,474.76,0.04,-112.76,-0.01,789.86,0.08,5
9,Entry long,2025-09-03 17:25,M1 scalp up,3571.11,2,7142.22,183.97,0.02,0,474.76,0.04,-112.76,-0.01,789.86,0.08,5
10,Exit long,2025-09-03 19:43,TSL,3564.73,1,3561.91,418.38,0.08,0,566.74,0.11,-38.57,-0.01,1208.24,0.12,11
10,Entry long,2025-09-03 19:32,M1 scalp up,3561.91,1,3561.91,418.38,0.08,0,566.74,0.11,-38.57,-0.01,1208.24,0.12,11
11,Exit long,2025-09-03 20:26,TSL,3565.04,1,3562.98,305.63,0.06,0,453.99,0.09,-255.18,-0.05,1513.87,0.15,40
11,Entry long,2025-09-03 19:46,M1 scalp up,3562.98,1,3562.98,305.63,0.06,0,453.99,0.09,-255.18,-0.05,1513.87,0.15,40
12,Exit long,2025-09-03 20:49,SL,3560.2,1,3562.75,-378.32,-0.07,0,206.22,0.04,-378.32,-0.07,1135.54,0.11,18
