idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,exit_bar,exit_time,exit_price,exit_reason,bars_held,profit,swap,commission,lots,trailed
1,long,114,2024.06.07 17:00:00,1.27262,1.26935,1.27752,0.00163357,3.0,134,2024.06.10 13:04:40,1.26935,SL,20,-3.27,-0.03,-0.08,0.01,0
2,long,135,2024.06.10 14:00:00,1.26969,1.26745,1.27305,0.00111857,5.0,139,2024.06.10 18:40:20,1.27305,TP,4,3.36,0.00,-0.08,0.01,0
3,long,229,2024.06.14 12:00:00,1.27225,1.27049,1.27489,0.00087857,5.0,229,2024.06.14 12:32:40,1.27049,SL,0,-1.76,0.00,-0.08,0.01,0
4,long,251,2024.06.17 10:00:00,1.26688,1.26520,1.26941,0.00084214,5.0,260,2024.06.17 19:13:40,1.26941,TP,9,2.53,0.00,-0.08,0.01,0
5,long,328,2024.06.20 15:00:00,1.26812,1.26638,1.27073,0.00087071,3.0,332,2024.06.20 19:04:40,1.26638,SL,4,-1.74,0.00,-0.08,0.01,0
6,long,341,2024.06.21 04:00:00,1.26565,1.26329,1.26918,0.00117786,5.0,348,2024.06.21 11:30:40,1.26329,SL,7,-2.36,0.00,-0.08,0.01,0
7,long,425,2024.06.26 16:00:00,1.26456,1.26266,1.26741,0.00094857,5.0,426,2024.06.26 17:58:40,1.26266,SL,1,-1.90,0.00,-0.08,0.01,0
8,long,437,2024.06.27 04:00:00,1.26148,1.25882,1.26547,0.00132929,5.0,448,2024.06.27 15:30:40,1.26547,TP,11,3.99,0.00,-0.08,0.01,0
9,long,814,2024.07.18 21:00:00,1.29618,1.29359,1.30007,0.00129643,3.0,821,2024.07.19 04:47:40,1.29359,SL,7,-2.59,-0.03,-0.08,0.01,0
10,long,828,2024.07.19 11:00:00,1.29295,1.29096,1.29594,0.00099714,5.0,829,2024.07.19 12:38:40,1.29096,SL,1,-1.99,0.00,-0.08,0.01,0
11,long,936,2024.07.25 23:00:00,1.28532,1.28188,1.29048,0.00172071,9.0,965,2024.07.29 04:00:00,1.28847,SIGNAL,29,3.15,-0.06,-0.08,0.01,0
12,long,972,2024.07.29 11:00:00,1.28334,1.28100,1.28685,0.00117000,5.0,972,2024.07.29 11:30:40,1.28100,SL,0,-2.34,0.00,-0.08,0.01,0
13,long,1043,2024.08.01 10:00:00,1.28069,1.27789,1.28489,0.00139857,5.0,1044,2024.08.01 11:12:40,1.27789,SL,1,-2.80,0.00,-0.08,0.01,0
14,long,1055,2024.08.01 22:00:00,1.27277,1.26689,1.28159,0.00293929,3.0,1073,2024.08.02 16:00:00,1.28023,SIGNAL,18,7.46,-0.03,-0.08,0.01,0
15,long,1119,2024.08.06 14:00:00,1.26883,1.26517,1.27432,0.00182857,5.0,1172,2024.08.08 19:00:00,1.27410,SIGNAL,53,5.27,-0.12,-0.08,0.01,0
16,long,1531,2024.08.29 18:00:00,1.31560,1.31199,1.32102,0.00180571,3.0,1556,2024.08.30 19:24:40,1.31199,SL,25,-3.61,-0.03,-0.08,0.01,0
17,long,1557,2024.08.30 20:00:00,1.31196,1.30836,1.31735,0.00179786,3.0,1626,2024.09.04 17:00:00,1.31368,SIGNAL,69,1.72,-0.09,-0.08,0.01,0
18,long,1693,2024.09.09 12:00:00,1.30886,1.30657,1.31230,0.00114500,5.0,1708,2024.09.10 03:05:40,1.30657,SL,15,-2.29,-0.03,-0.08,0.01,0
19,long,1747,2024.09.11 18:00:00,1.30151,1.29756,1.30743,0.00197286,3.0,1770,2024.09.12 17:43:40,1.30743,TP,23,5.92,-0.09,-0.08,0.01,0
20,long,1991,2024.09.25 22:00:00,1.33256,1.32860,1.33850,0.00198000,50.0,2007,2024.09.26 14:00:00,1.33793,SIGNAL,16,5.37,-0.09,-0.08,0.01,0
21,long,2080,2024.10.01 15:00:00,1.33205,1.32875,1.33700,0.00165000,3.0,2082,2024.10.01 17:50:40,1.32875,SL,2,-3.30,0.00,-0.08,0.01,0
22,long,2122,2024.10.03 09:00:00,1.31840,1.31527,1.32309,0.00156286,5.0,2123,2024.10.03 10:42:40,1.31527,SL,1,-3.13,0.00,-0.08,0.01,0
23,long,2134,2024.10.03 21:00:00,1.31241,1.30707,1.32042,0.00266929,3.0,2152,2024.10.04 15:00:00,1.31699,SIGNAL,18,4.58,-0.03,-0.08,0.01,0
24,long,2153,2024.10.04 16:00:00,1.30793,1.30396,1.31388,0.00198286,3.0,2225,2024.10.09 16:00:00,1.30827,TIME,72,0.34,-0.09,-0.08,0.01,0
25,long,2339,2024.10.16 10:00:00,1.29900,1.29620,1.30321,0.00140214,3.0,2343,2024.10.16 14:57:40,1.30321,TP,4,4.21,0.00,-0.08,0.01,0
26,long,2420,2024.10.21 19:00:00,1.29802,1.29534,1.30205,0.00134214,5.0,2441,2024.10.22 16:02:40,1.29534,SL,21,-2.68,-0.03,-0.08,0.01,0
27,long,2470,2024.10.23 21:00:00,1.29135,1.28806,1.29629,0.00164714,3.0,2483,2024.10.24 10:33:40,1.29629,TP,13,4.94,-0.09,-0.08,0.01,0
28,long,2584,2024.10.30 15:00:00,1.29496,1.29190,1.29955,0.00152857,3.0,2584,2024.10.30 15:56:40,1.29955,TP,0,4.59,0.00,-0.08,0.01,0
29,long,2610,2024.10.31 17:00:00,1.28909,1.28428,1.29630,0.00240357,3.0,2631,2024.11.01 14:38:40,1.29630,TP,21,7.21,-0.03,-0.08,0.01,0
30,long,2694,2024.11.06 06:00:00,1.28887,1.28232,1.29869,0.00327429,5.0,2727,2024.11.07 15:00:00,1.29560,SIGNAL,33,6.73,-0.09,-0.08,0.01,0
31,long,2755,2024.11.08 19:00:00,1.29025,1.28648,1.29590,0.00188429,3.0,2775,2024.11.11 15:32:40,1.28648,SL,20,-3.77,-0.03,-0.08,0.01,0
32,long,2776,2024.11.11 16:00:00,1.28674,1.28361,1.29144,0.00156571,5.0,2790,2024.11.12 06:46:40,1.28361,SL,14,-3.13,-0.03,-0.08,0.01,0
33,long,2791,2024.11.12 07:00:00,1.28450,1.28236,1.28771,0.00106929,5.0,2792,2024.11.12 08:18:40,1.28236,SL,1,-2.14,0.00,-0.08,0.01,0
34,long,2803,2024.11.12 19:00:00,1.27328,1.26890,1.27985,0.00218929,3.0,2825,2024.11.13 17:07:40,1.26890,SL,22,-4.38,-0.03,-0.08,0.01,0
35,long,2837,2024.11.14 05:00:00,1.26843,1.26464,1.27411,0.00189429,5.0,2844,2024.11.14 12:15:40,1.26464,SL,7,-3.79,0.00,-0.08,0.01,0
36,long,2971,2024.11.21 19:00:00,1.25859,1.25488,1.26416,0.00185714,3.0,2987,2024.11.22 11:00:40,1.25488,SL,16,-3.71,-0.03,-0.08,0.01,0
37,long,2988,2024.11.22 12:00:00,1.25122,1.24801,1.25603,0.00160357,3.0,3000,2024.11.25 00:00:00,1.25603,TP,12,4.81,-0.03,-0.08,0.01,0
38,long,3330,2024.12.12 18:00:00,1.26896,1.26525,1.27452,0.00185286,3.0,3345,2024.12.13 09:00:40,1.26525,SL,15,-3.71,-0.03,-0.08,0.01,0
39,long,3346,2024.12.13 10:00:00,1.26270,1.26022,1.26643,0.00124214,3.0,3350,2024.12.13 14:41:20,1.26643,TP,4,3.73,0.00,-0.08,0.01,0
40,long,3430,2024.12.18 22:00:00,1.25948,1.25410,1.26755,0.00269071,9.0,3450,2024.12.19 18:50:40,1.25410,SL,20,-5.38,-0.09,-0.08,0.01,0
41,long,3451,2024.12.19 19:00:00,1.25278,1.24775,1.26032,0.00251429,3.0,3461,2024.12.20 05:49:40,1.24775,SL,10,-5.03,-0.03,-0.08,0.01,0
42,long,3463,2024.12.20 07:00:00,1.24827,1.24469,1.25364,0.00179071,5.0,3471,2024.12.20 15:30:40,1.25364,TP,8,5.37,0.00,-0.08,0.01,0
