idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
1,long,1313,2024-06-07 17:00:00,1.27262,1.26935,1.27752,0.001633571428571409,3.0,0.01,1333,2024-06-10 13:00:00,1.26935,SL,20,False,False,-0.003270000000000106,-2.0017490161784885,-3.270000000000106,-0.0765,0.0793,3,-3.425800000000106,
2,long,1334,2024-06-10 14:00:00,1.26969,1.26745,1.27305,0.001118571428571429,5.0,0.01,1338,2024-06-10 18:00:00,1.27305,TP,4,False,False,0.0033600000000000296,3.0038314176245464,3.3600000000000296,-0.0,0.0793,0,3.2807000000000297,
3,long,1428,2024-06-14 12:00:00,1.27225,1.27049,1.27489,0.0008785714285714745,5.0,0.01,1428,2024-06-14 12:00:00,1.27049,SL,0,False,False,-0.0017600000000002058,-2.0032520325204546,-1.7600000000002058,-0.0,0.0793,0,-1.8393000000002058,
4,long,1450,2024-06-17 10:00:00,1.26688,1.2652,1.26941,0.0008421428571428548,5.0,0.01,1459,2024-06-17 19:00:00,1.26941,TP,9,False,False,0.002529999999999921,3.0042408821033924,2.529999999999921,-0.0,0.0793,0,2.4506999999999213,
5,long,1527,2024-06-20 15:00:00,1.26812,1.26638,1.27073,0.0008707142857142644,3.0,0.01,1531,2024-06-20 19:00:00,1.26638,SL,4,False,False,-0.0017399999999998528,-1.9983593109104623,-1.7399999999998528,-0.0,0.0793,0,-1.8192999999998527,
6,long,1540,2024-06-21 04:00:00,1.26565,1.26329,1.26918,0.0011778571428571194,5.0,0.01,1547,2024-06-21 11:00:00,1.26329,SL,7,False,False,-0.0023599999999999177,-2.003638568829564,-2.3599999999999177,-0.0,0.0793,0,-2.4392999999999176,
7,long,1624,2024-06-26 16:00:00,1.26456,1.26266,1.26741,0.0009485714285714097,5.0,0.01,1625,2024-06-26 17:00:00,1.26266,SL,1,False,False,-0.0019000000000000128,-2.0030120481928244,-1.9000000000000128,-0.0,0.0793,0,-1.9793000000000127,
8,long,1636,2024-06-27 04:00:00,1.26148,1.25882,1.26547,0.0013292857142856995,5.0,0.01,1647,2024-06-27 15:00:00,1.26547,TP,11,False,False,0.00399000000000016,3.001612036539649,3.9900000000001605,-0.0,0.0793,0,3.9107000000001606,
9,long,2013,2024-07-18 21:00:00,1.29618,1.29359,1.30007,0.001296428571428516,3.0,0.01,2020,2024-07-19 04:00:00,1.29359,SL,7,False,False,-0.0025900000000000922,-1.9977961432508453,-2.5900000000000922,-0.0255,0.0793,1,-2.6948000000000922,
10,long,2027,2024-07-19 11:00:00,1.29295,1.29096,1.29594,0.000997142857142855,5.0,0.01,2028,2024-07-19 12:00:00,1.29096,SL,1,False,False,-0.0019899999999999363,-1.9957020057305992,-1.9899999999999365,-0.0,0.0793,0,-2.0692999999999366,
11,long,2135,2024-07-25 23:00:00,1.28532,1.28188,1.29048,0.0017207142857142818,9.0,0.01,2164,2024-07-29 04:00:00,1.28847,SIGNAL,29,False,False,0.003149999999999986,1.8306351183063474,3.1499999999999866,-0.102,0.0793,4,2.968699999999987,
12,long,2171,2024-07-29 11:00:00,1.28334,1.281,1.28685,0.0011699999999999885,5.0,0.01,2171,2024-07-29 11:00:00,1.281,SL,0,False,False,-0.0023400000000000087,-2.000000000000027,-2.3400000000000087,-0.0,0.0793,0,-2.4193000000000087,
13,long,2242,2024-08-01 10:00:00,1.28069,1.27789,1.28489,0.0013985714285714237,5.0,0.01,2243,2024-08-01 11:00:00,1.27789,SL,1,False,False,-0.0028000000000001357,-2.002042900919409,-2.8000000000001357,-0.0,0.0793,0,-2.8793000000001356,
14,long,2254,2024-08-01 22:00:00,1.27277,1.26689,1.28159,0.0029392857142857315,3.0,0.01,2272,2024-08-02 16:00:00,1.28023,SIGNAL,18,False,False,0.007460000000000022,2.5380315917375382,7.460000000000023,-0.0255,0.0793,1,7.355200000000023,
15,long,2318,2024-08-06 14:00:00,1.26883,1.26517,1.27432,0.0018285714285713858,5.0,0.01,2371,2024-08-08 19:00:00,1.2741,SIGNAL,53,False,False,0.005270000000000108,2.8820312500001264,5.270000000000108,-0.102,0.0793,4,5.088700000000108,
16,long,2730,2024-08-29 18:00:00,1.3156,1.31199,1.32102,0.0018057142857142358,3.0,0.01,2755,2024-08-30 19:00:00,1.31199,SL,25,False,False,-0.003610000000000113,-1.9992088607596115,-3.610000000000113,-0.0255,0.0793,1,-3.714800000000113,
17,long,2756,2024-08-30 20:00:00,1.31196,1.30836,1.31735,0.0017978571428571369,3.0,0.01,2825,2024-09-04 17:00:00,1.31368,SIGNAL,69,False,False,0.0017199999999999438,0.9566944775526139,1.7199999999999438,-0.1785,0.0793,7,1.4621999999999438,
18,long,2892,2024-09-09 12:00:00,1.30886,1.30657,1.3123,0.001144999999999999,5.0,0.01,2907,2024-09-10 03:00:00,1.30657,SL,15,False,False,-0.0022899999999999032,-1.999999999999917,-2.2899999999999032,-0.0255,0.0793,1,-2.3947999999999032,boundary
19,long,2946,2024-09-11 18:00:00,1.30151,1.29756,1.30743,0.001972857142857173,3.0,0.01,2969,2024-09-12 17:00:00,1.30743,TP,23,False,False,0.005920000000000147,3.000724112961651,5.920000000000148,-0.0255,0.0793,1,5.815200000000148,
20,long,3190,2024-09-25 22:00:00,1.33256,1.3286,1.3385,0.0019800000000000134,50.0,0.01,3206,2024-09-26 14:00:00,1.33793,SIGNAL,16,False,False,0.005370000000000097,2.7121212121212426,5.370000000000097,-0.0255,0.0793,1,5.265200000000097,
21,long,3279,2024-10-01 15:00:00,1.33205,1.32875,1.337,0.0016499999999999768,3.0,0.01,3281,2024-10-01 17:00:00,1.32875,SL,2,False,False,-0.0032999999999998586,-1.9999999999999425,-3.2999999999998586,-0.0,0.0793,0,-3.3792999999998585,
22,long,3321,2024-10-03 09:00:00,1.3184,1.31527,1.32309,0.0015628571428571198,5.0,0.01,3322,2024-10-03 10:00:00,1.31527,SL,1,False,False,-0.003130000000000077,-2.0027422303474283,-3.130000000000077,-0.0,0.0793,0,-3.209300000000077,
23,long,3333,2024-10-03 21:00:00,1.31241,1.30707,1.32042,0.0026692857142857074,3.0,0.01,3351,2024-10-04 15:00:00,1.31699,SIGNAL,18,False,False,0.0045800000000000285,1.715814824725731,4.5800000000000285,-0.0255,0.0793,1,4.4752000000000285,
24,long,3352,2024-10-04 16:00:00,1.30793,1.30396,1.31388,0.0019828571428571118,3.0,0.01,3424,2024-10-09 16:00:00,1.30827,TIME,72,False,False,0.00034000000000000696,0.17146974063401196,0.34000000000000696,-0.1785,0.0793,7,0.08220000000000698,
25,long,3538,2024-10-16 10:00:00,1.299,1.2962,1.30321,0.0014021428571428598,3.0,0.01,3542,2024-10-16 14:00:00,1.30321,TP,4,False,False,0.004210000000000047,3.0025471217524475,4.210000000000047,-0.0,0.0793,0,4.130700000000047,
26,long,3619,2024-10-21 19:00:00,1.29802,1.29534,1.30205,0.0013421428571427838,5.0,0.01,3640,2024-10-22 16:00:00,1.29534,SL,21,False,False,-0.0026800000000000157,-1.9968068121342348,-2.680000000000016,-0.0255,0.0793,1,-2.784800000000016,
27,long,3669,2024-10-23 21:00:00,1.29135,1.28806,1.29629,0.0016471428571428629,3.0,0.01,3682,2024-10-24 10:00:00,1.29629,TP,13,False,False,0.0049399999999999444,2.9991326973113175,4.939999999999944,-0.0255,0.0793,1,4.835199999999944,
28,long,3783,2024-10-30 15:00:00,1.29496,1.2919,1.29955,0.0015285714285714505,3.0,0.01,3783,2024-10-30 15:00:00,1.29955,TP,0,False,False,0.004589999999999872,3.0028037383176303,4.589999999999872,-0.0,0.0793,0,4.510699999999872,
29,long,3809,2024-10-31 17:00:00,1.28909,1.28428,1.2963,0.0024035714285714415,3.0,0.01,3830,2024-11-01 14:00:00,1.2963,TP,21,False,False,0.007209999999999939,2.9997028231797502,7.209999999999939,-0.0255,0.0793,1,7.105199999999939,
30,long,3893,2024-11-06 06:00:00,1.28887,1.28232,1.29869,0.00327428571428569,5.0,0.01,3926,2024-11-07 15:00:00,1.2956,SIGNAL,33,False,False,0.006730000000000125,2.055410122164102,6.730000000000125,-0.0255,0.0793,1,6.625200000000125,
31,long,3954,2024-11-08 19:00:00,1.29025,1.28648,1.2959,0.0018842857142857034,3.0,0.01,3974,2024-11-11 15:00:00,1.28648,SL,20,False,False,-0.003769999999999829,-2.0007581501136436,-3.769999999999829,-0.0765,0.0793,3,-3.9257999999998288,
32,long,3975,2024-11-11 16:00:00,1.28674,1.28361,1.29144,0.0015657142857142814,5.0,0.01,3989,2024-11-12 06:00:00,1.28361,SL,14,False,False,-0.003130000000000077,-1.9990875912409307,-3.130000000000077,-0.0255,0.0793,1,-3.234800000000077,
33,long,3990,2024-11-12 07:00:00,1.2845,1.28236,1.28771,0.0010692857142856932,5.0,0.01,3991,2024-11-12 08:00:00,1.28236,SL,1,False,False,-0.0021400000000000308,-2.0013360053440894,-2.1400000000000308,-0.0,0.0793,0,-2.2193000000000307,
34,long,4002,2024-11-12 19:00:00,1.27328,1.2689,1.27985,0.002189285714285719,3.0,0.01,4024,2024-11-13 17:00:00,1.2689,SL,22,False,False,-0.0043800000000000505,-2.0006525285481427,-4.3800000000000505,-0.0765,0.0793,3,-4.535800000000051,
35,long,4036,2024-11-14 05:00:00,1.26843,1.26464,1.27411,0.0018942857142857214,5.0,0.01,4043,2024-11-14 12:00:00,1.26464,SL,7,False,False,-0.00378999999999996,-2.000754147812943,-3.78999999999996,-0.0,0.0793,0,-3.86929999999996,
36,long,4170,2024-11-21 19:00:00,1.25859,1.25488,1.26416,0.0018571428571428111,3.0,0.01,4186,2024-11-22 11:00:00,1.25488,SL,16,False,False,-0.003710000000000102,-1.9976923076924122,-3.7100000000001025,-0.0255,0.0793,1,-3.8148000000001026,
37,long,4187,2024-11-22 12:00:00,1.25122,1.24801,1.25603,0.0016035714285714345,3.0,0.01,4199,2024-11-25 00:00:00,1.25603,TP,12,False,False,0.004809999999999981,2.999554565701536,4.809999999999981,-0.0765,0.0793,3,4.654199999999981,
38,long,4529,2024-12-12 18:00:00,1.26896,1.26525,1.27452,0.001852857142857164,3.0,0.01,4544,2024-12-13 09:00:00,1.26525,SL,15,False,False,-0.003710000000000102,-2.002313030069423,-3.7100000000001025,-0.0255,0.0793,1,-3.8148000000001026,
39,long,4545,2024-12-13 10:00:00,1.2627,1.26022,1.26643,0.00124214285714289,3.0,0.01,4549,2024-12-13 14:00:00,1.26643,TP,4,False,False,0.003730000000000011,3.0028752156411027,3.7300000000000115,-0.0,0.0793,0,3.6507000000000116,
40,long,4629,2024-12-18 22:00:00,1.25948,1.2541,1.26755,0.0026907142857142924,9.0,0.01,4649,2024-12-19 18:00:00,1.2541,SL,20,False,False,-0.00537999999999994,-1.9994690735332885,-5.379999999999941,-0.0255,0.0793,1,-5.484799999999941,
41,long,4650,2024-12-19 19:00:00,1.25278,1.24775,1.26032,0.002514285714285739,3.0,0.01,4660,2024-12-20 05:00:00,1.24775,SL,10,False,False,-0.00503000000000009,-2.000568181818198,-5.03000000000009,-0.0255,0.0793,1,-5.13480000000009,
42,long,4662,2024-12-20 07:00:00,1.24827,1.24469,1.25364,0.0017907142857142805,5.0,0.01,4670,2024-12-20 15:00:00,1.25364,TP,8,False,False,0.005370000000000097,2.998803350618332,5.370000000000097,-0.0,0.0793,0,5.290700000000097,
43,long,4821,2025-01-02 12:00:00,1.24828,1.24565,1.25222,0.0013128571428570998,5.0,0.01,4821,2025-01-02 12:00:00,1.24565,SL,0,False,False,-0.0026300000000001322,-2.0032644178456507,-2.6300000000001327,-0.0,0.0793,0,-2.7093000000001326,
44,long,4833,2025-01-03 00:00:00,1.23719,1.23244,1.24432,0.002377142857142824,5.0,0.01,4861,2025-01-06 04:00:00,1.24347,SIGNAL,28,False,False,0.006280000000000063,2.641826923076987,6.280000000000064,-0.0765,0.0793,3,6.124200000000064,
45,long,4916,2025-01-08 11:00:00,1.24419,1.24208,1.24736,0.0010564285714285454,5.0,0.01,4918,2025-01-08 13:00:00,1.24208,SL,2,False,False,-0.0021099999999998342,-1.9972954699119951,-2.1099999999998342,-0.0,0.0793,0,-2.189299999999834,
46,long,4938,2025-01-09 09:00:00,1.22951,1.22634,1.23427,0.0015864285714285759,5.0,0.01,4938,2025-01-09 09:00:00,1.22634,SL,0,False,False,-0.003170000000000117,-1.9981990094552686,-3.170000000000117,-0.0,0.0793,0,-3.249300000000117,
47,long,4980,2025-01-13 03:00:00,1.22015,1.21447,1.22867,0.0028414285714285664,5.0,0.01,4982,2025-01-13 05:00:00,1.21447,SL,2,False,False,-0.005680000000000129,-1.998994469582754,-5.680000000000129,-0.0,0.0793,0,-5.759300000000129,
48,long,5083,2025-01-17 10:00:00,1.21748,1.21467,1.2217,0.0014071428571428449,5.0,0.01,5090,2025-01-17 17:00:00,1.2217,TP,7,False,False,0.0042200000000001125,2.9989847715737104,4.2200000000001125,-0.0,0.0793,0,4.140700000000113,
49,long,5338,2025-02-03 01:00:00,1.23036,1.22336,1.24086,0.003499285714285673,5.0,0.01,5354,2025-02-03 17:00:00,1.24086,TP,16,False,False,0.010500000000000176,3.000612369871488,10.500000000000176,-0.0,0.0793,0,10.420700000000176,
50,long,5420,2025-02-06 11:00:00,1.24473,1.24256,1.24799,0.0010871428571428104,5.0,0.01,5420,2025-02-06 11:00:00,1.24256,SL,0,False,False,-0.002169999999999783,-1.9960578186595448,-2.169999999999783,-0.0,0.0793,0,-2.249299999999783,
51,long,5789,2025-02-27 20:00:00,1.26133,1.2577,1.26678,0.0018157142857142539,5.0,0.01,5801,2025-02-28 08:00:00,1.2577,SL,12,False,False,-0.003630000000000022,-1.9992132179386783,-3.630000000000022,-0.0255,0.0793,1,-3.734800000000022,
52,long,5814,2025-02-28 21:00:00,1.25625,1.25281,1.26141,0.0017207142857143451,5.0,0.01,5828,2025-03-03 11:00:00,1.26141,TP,14,False,False,0.005159999999999831,2.998754669987345,5.159999999999832,-0.0765,0.0793,3,5.004199999999832,
53,long,6159,2025-03-21 07:00:00,1.29403,1.29195,1.29716,0.0010421428571428329,5.0,0.01,6169,2025-03-21 17:00:00,1.29195,SL,10,False,False,-0.002080000000000082,-1.995887594242757,-2.080000000000082,-0.0,0.0793,0,-2.1593000000000817,
54,long,6239,2025-03-26 16:00:00,1.28837,1.28487,1.29363,0.0017521428571428688,5.0,0.01,6260,2025-03-27 13:00:00,1.29326,SIGNAL,21,False,False,0.004890000000000061,2.790868324500628,4.890000000000061,-0.0255,0.0793,1,4.785200000000061,
55,long,6402,2025-04-04 12:00:00,1.2983,1.29332,1.30577,0.0024914285714285255,5.0,0.01,6407,2025-04-04 17:00:00,1.29332,SL,5,False,False,-0.0049799999999999844,-1.9988532110092048,-4.979999999999984,-0.0,0.0793,0,-5.059299999999984,
56,long,6415,2025-04-07 01:00:00,1.28388,1.27454,1.29789,0.004670714285714274,5.0,0.01,6432,2025-04-07 18:00:00,1.27454,SL,17,False,False,-0.009339999999999904,-1.9996941428352806,-9.339999999999904,-0.0,0.0793,0,-9.419299999999904,
57,long,6433,2025-04-07 19:00:00,1.27259,1.26385,1.28569,0.0043678571428571455,5.0,0.01,6467,2025-04-09 05:00:00,1.28312,SIGNAL,34,False,False,0.010529999999999928,2.410793131643482,10.529999999999928,-0.102,0.0793,4,10.348699999999928,
58,long,6703,2025-04-23 01:00:00,1.32923,1.32499,1.33559,0.0021207142857142852,5.0,0.01,6703,2025-04-23 01:00:00,1.32499,SL,0,False,False,-0.0042400000000000215,-1.9993263725160093,-4.2400000000000215,-0.0,0.0793,0,-4.3193000000000215,
59,long,6839,2025-04-30 17:00:00,1.33227,1.32853,1.33789,0.001872142857142862,5.0,0.01,6854,2025-05-01 08:00:00,1.32853,SL,15,False,False,-0.0037400000000000766,-1.9977107974056063,-3.7400000000000766,-0.0255,0.0793,1,-3.8448000000000766,
60,long,6855,2025-05-01 09:00:00,1.32894,1.3262,1.33305,0.0013685714285714015,5.0,0.01,6857,2025-05-01 11:00:00,1.33305,TP,2,False,False,0.004110000000000058,3.0031315240084524,4.110000000000058,-0.0,0.0793,0,4.030700000000058,
61,long,7025,2025-05-12 11:00:00,1.31694,1.31184,1.32459,0.0025514285714285695,5.0,0.01,7054,2025-05-13 16:00:00,1.32434,SIGNAL,29,False,False,0.007400000000000073,2.900335946248631,7.400000000000073,-0.0255,0.0793,1,7.295200000000073,
62,long,7310,2025-05-28 08:00:00,1.34727,1.3448,1.35098,0.001236428571428551,5.0,0.01,7313,2025-05-28 11:00:00,1.35098,TP,3,False,False,0.003710000000000102,3.0005777007511427,3.7100000000001025,-0.0,0.0793,0,3.6307000000001026,
63,long,7329,2025-05-29 03:00:00,1.34285,1.33907,1.34853,0.0018921428571428978,5.0,0.01,7341,2025-05-29 15:00:00,1.34853,TP,12,False,False,0.005679999999999907,3.001887504718648,5.6799999999999065,-0.0,0.0793,0,5.6006999999999065,
64,long,7528,2025-06-10 10:00:00,1.34822,1.34488,1.35323,0.0016707142857143031,5.0,0.01,7534,2025-06-10 16:00:00,1.35323,TP,6,False,False,0.005009999999999959,2.9987174005984905,5.009999999999959,-0.0,0.0793,0,4.930699999999959,
65,long,7656,2025-06-17 18:00:00,1.35126,1.34753,1.35686,0.0018671428571428292,5.0,0.01,7657,2025-06-17 19:00:00,1.34753,SL,1,False,False,-0.003730000000000011,-1.9977046671767764,-3.7300000000000115,-0.0,0.0793,0,-3.8093000000000115,
