idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
1,short,7856,2026-06-01 19:48:00,4470.36,4475.13,0.0,1.5887802654271896,15.0,0.01,7860,2026-06-01 19:52:00,4475.13,SL,4,False,False,-4.770000000000437,-3.0023031528012365,-4.770000000000437,0.0,0.0793,0,-4.8493000000004365,
2,short,7888,2026-06-01 20:20:00,4475.8,4480.45,0.0,1.548366723000922,15.0,0.01,7897,2026-06-01 20:29:00,4480.45,SL,9,False,False,-4.649999999999636,-3.003164515824374,-4.649999999999636,0.0,0.0793,0,-4.729299999999636,
3,short,8051,2026-06-01 23:03:00,4483.16,4486.69,0.0,1.1773727592233088,23.0,0.01,8108,2026-06-02 01:00:00,4486.69,SL,57,False,False,-3.5299999999997453,-2.998200843655005,-3.5299999999997453,0.23399999999999999,0.0793,1,-3.3752999999997453,
4,short,9235,2026-06-02 19:47:00,4490.28,4487.81,0.0,1.5643525721041662,15.0,0.01,9259,2026-06-02 20:11:00,4487.81,SL,24,False,True,2.469999999999345,1.5789279501596103,2.469999999999345,0.0,0.0793,0,2.3906999999993452,
5,short,9278,2026-06-02 20:30:00,4491.14,4483.08,0.0,1.4609429026011582,15.0,0.01,9288,2026-06-02 20:40:00,4483.08,SL,10,False,True,8.0600000000004,5.516984945578536,8.0600000000004,0.0,0.0793,0,7.9807000000004,
6,short,9298,2026-06-02 20:50:00,4485.96,4483.62,0.0,1.4935763203506807,15.0,0.01,9304,2026-06-02 20:56:00,4483.62,SL,6,False,True,2.3400000000001455,1.5667093593521426,2.3400000000001455,0.0,0.0793,0,2.2607000000001456,
7,short,9414,2026-06-02 22:46:00,4487.21,4490.36,0.0,1.0485034291181343,15.0,0.01,9443,2026-06-02 23:15:00,4490.36,SL,29,False,False,-3.149999999999636,-3.0042820199920657,-3.149999999999636,0.0,0.0793,0,-3.229299999999636,
8,short,9459,2026-06-02 23:31:00,4490.47,4489.3,0.0,0.7389690952597641,30.0,0.02,9473,2026-06-02 23:45:00,4489.3,SL,14,False,True,1.1700000000000728,1.5832867808751756,2.3400000000001455,0.0,0.1586,0,2.1814000000001457,
9,short,10636,2026-06-03 20:08:00,4445.3,4442.66,0.0,1.6482471684900164,15.0,0.01,10642,2026-06-03 20:14:00,4442.66,SL,6,False,True,2.6400000000003274,1.6017015229693192,2.6400000000003274,0.0,0.0793,0,2.5607000000003275,
10,short,10670,2026-06-03 20:42:00,4440.7,4438.08,0.0,1.4420158596716461,15.0,0.01,10696,2026-06-03 21:08:00,4438.08,SL,26,False,True,2.619999999999891,1.8169009601575932,2.619999999999891,0.0,0.0793,0,2.540699999999891,
11,short,10784,2026-06-03 22:36:00,4448.8,4445.85,0.0,1.185572050109314,15.0,0.01,10796,2026-06-03 22:48:00,4445.85,SL,12,False,True,2.949999999999818,2.4882502921081997,2.949999999999818,0.0,0.0793,0,2.870699999999818,
12,short,10835,2026-06-03 23:27:00,4439.89,4433.97,0.0,1.1644369001955155,23.0,0.01,10842,2026-06-03 23:34:00,4433.97,SL,7,False,True,5.920000000000073,5.084002404085676,5.920000000000073,0.0,0.0793,0,5.840700000000073,
13,short,10854,2026-06-03 23:46:00,4434.26,4437.97,0.0,1.236521788149943,58.0,0.01,10868,2026-06-04 01:00:00,4437.97,SL,14,False,False,-3.7100000000000364,-3.000351498497133,-3.7100000000000364,0.23399999999999999,0.0793,1,-3.5553000000000363,
14,long,11953,2026-06-04 19:05:00,4476.51,4483.21,0.0,1.5667516824440888,15.0,0.01,11959,2026-06-04 19:11:00,4483.21,SL,6,False,True,6.699999999999818,4.276363686138192,6.699999999999818,-0.0,0.0793,0,6.620699999999818,
