idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,exit_bar,exit_time,exit_price,exit_reason,bars_held,profit,swap,commission,lots,trailed
1,long,1067,2024.08.02 10:00:00,1.27266,1.26890,1.27894,0.00125500,5.0,1072,2024.08.02 15:30:40,1.27894,TP,5,6.28,0.00,-0.08,0.01,0
2,long,2129,2024.10.03 16:00:00,1.31135,1.30442,1.32289,0.00230857,3.0,2177,2024.10.07 16:00:00,1.30787,TIME,48,-3.48,-0.06,-0.08,0.01,0
3,long,2806,2024.11.12 22:00:00,1.27367,1.26710,1.28462,0.00218929,3.0,2842,2024.11.14 10:47:40,1.26710,SL,36,-6.57,-0.12,-0.08,0.01,0
4,long,3364,2024.12.16 04:00:00,1.26358,1.25877,1.27161,0.00160500,5.0,3401,2024.12.17 17:19:20,1.27161,TP,37,8.03,-0.03,-0.08,0.01,0
5,long,3457,2024.12.20 01:00:00,1.25069,1.24302,1.26347,0.00255571,9.0,3505,2024.12.24 01:00:00,1.25379,TIME,48,3.10,-0.06,-0.08,0.01,0
6,long,3630,2025.01.02 20:00:00,1.23726,1.23042,1.24866,0.00227929,3.0,3669,2025.01.06 11:09:40,1.24866,TP,39,11.40,-0.06,-0.08,0.01,0
7,long,3736,2025.01.09 06:00:00,1.23445,1.22884,1.24379,0.00186857,5.0,3739,2025.01.09 09:21:40,1.22884,SL,3,-5.61,0.00,-0.08,0.01,0
8,long,3760,2025.01.10 06:00:00,1.23011,1.22647,1.23617,0.00121214,5.0,3769,2025.01.10 15:30:40,1.22647,SL,9,-3.64,0.00,-0.08,0.01,0
9,long,3785,2025.01.13 07:00:00,1.21396,1.20756,1.22464,0.00213500,5.0,3803,2025.01.14 01:33:40,1.22464,TP,18,10.68,-0.03,-0.08,0.01,0
10,long,5231,2025.04.07 16:00:00,1.28372,1.27220,1.30292,0.00384000,1.0,5234,2025.04.07 19:00:40,1.27220,SL,3,-11.52,0.00,-0.08,0.01,0
11,long,5255,2025.04.08 16:00:00,1.27765,1.27035,1.28982,0.00243429,5.0,5300,2025.04.10 13:20:40,1.28982,TP,45,12.17,-0.12,-0.08,0.01,0
12,long,6478,2025.06.18 15:00:00,1.34526,1.34052,1.35317,0.00158143,15.0,6485,2025.06.18 22:01:40,1.34052,SL,7,-4.74,0.00,-0.08,0.01,0
13,long,7238,2025.08.01 07:00:00,1.32012,1.31449,1.32950,0.00187643,5.0,7243,2025.08.01 12:49:40,1.31449,SL,5,-5.63,0.00,-0.08,0.01,0
14,long,7789,2025.09.03 06:00:00,1.33658,1.33176,1.34461,0.00160643,5.0,7800,2025.09.03 17:16:40,1.34461,TP,11,8.03,0.00,-0.08,0.01,0
15,long,8086,2025.09.19 15:00:00,1.34776,1.34241,1.35669,0.00178500,1.0,8134,2025.09.23 15:00:00,1.35143,TIME,48,3.67,-0.06,-0.08,0.01,0
16,long,8190,2025.09.25 23:00:00,1.33369,1.32706,1.34474,0.00221071,6.0,8225,2025.09.29 10:16:40,1.34474,TP,35,11.05,-0.06,-0.08,0.01,0
