idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
1,long,1306,2024-08-02 10:00:00,1.27266,1.26889,1.27894,0.0012550000000000378,5.0,0.01,1311,2024-08-02 15:00:00,1.27894,TP,5,False,False,0.006280000000000063,5.0039840637449196,6.280000000000064,-0.0,0.08,0,6.200000000000064,boundary
2,long,2368,2024-10-03 16:00:00,1.31135,1.30442,1.32289,0.0023085714285714216,3.0,0.01,2416,2024-10-07 16:00:00,1.30787,TIME,48,False,False,-0.0034799999999999276,-1.5074257425742306,-3.479999999999928,-0.0764,0.08,4,-3.636399999999928,
3,long,3045,2024-11-12 22:00:00,1.27367,1.2671,1.28462,0.0021892857142856875,3.0,0.01,3081,2024-11-14 10:00:00,1.2671,SL,36,False,False,-0.006570000000000187,-3.000978792822308,-6.570000000000187,-0.0764,0.08,4,-6.7264000000001865,
4,long,3603,2024-12-16 04:00:00,1.26358,1.25876,1.27161,0.001605000000000015,5.0,0.01,3640,2024-12-17 17:00:00,1.27161,TP,37,False,False,0.008029999999999982,5.003115264797449,8.029999999999982,-0.0191,0.08,1,7.930899999999982,boundary
5,long,3696,2024-12-20 01:00:00,1.25069,1.24302,1.26347,0.002555714285714296,9.0,0.01,3744,2024-12-24 01:00:00,1.25379,TIME,48,False,False,0.0030999999999998806,1.2129681386248785,3.0999999999998806,-0.0764,0.08,4,2.9435999999998805,
6,long,3869,2025-01-02 20:00:00,1.23726,1.23042,1.24866,0.0022792857142856743,3.0,0.01,3908,2025-01-06 11:00:00,1.24866,TP,39,False,False,0.011400000000000077,5.00156690692585,11.400000000000077,-0.0764,0.08,4,11.243600000000077,
7,long,3975,2025-01-09 06:00:00,1.23445,1.22884,1.24379,0.0018685714285714417,5.0,0.01,3978,2025-01-09 09:00:00,1.22884,SL,3,False,False,-0.005610000000000115,-3.0022935779816917,-5.610000000000115,-0.0,0.08,0,-5.690000000000115,
8,long,3999,2025-01-10 06:00:00,1.23011,1.22647,1.23617,0.0012121428571428522,5.0,0.01,4008,2025-01-10 15:00:00,1.22647,SL,9,False,False,-0.0036400000000000876,-3.0029463759576567,-3.6400000000000876,-0.0,0.08,0,-3.7200000000000877,
9,long,4024,2025-01-13 07:00:00,1.21396,1.20756,1.22463,0.002134999999999998,5.0,0.01,4042,2025-01-14 01:00:00,1.22463,TP,18,False,False,0.01067000000000018,4.997658079625381,10.67000000000018,-0.0191,0.08,1,10.57090000000018,boundary
10,long,5470,2025-04-07 16:00:00,1.28372,1.2722,1.30292,0.0038399999999999862,1.0,0.01,5473,2025-04-07 19:00:00,1.2722,SL,3,False,False,-0.011519999999999975,-3.000000000000004,-11.519999999999975,-0.0,0.08,0,-11.599999999999975,
11,long,5494,2025-04-08 16:00:00,1.27765,1.27035,1.28982,0.002434285714285706,5.0,0.01,5539,2025-04-10 13:00:00,1.28982,TP,45,False,False,0.012170000000000014,4.999413145539929,12.170000000000014,-0.0764,0.08,4,12.013600000000014,
12,long,6717,2025-06-18 15:00:00,1.34526,1.34052,1.35317,0.0015814285714286066,15.0,0.01,6724,2025-06-18 22:00:00,1.34052,SL,7,False,False,-0.0047399999999999665,-2.997289972899641,-4.7399999999999665,-0.0,0.08,0,-4.8199999999999665,
13,long,7477,2025-08-01 07:00:00,1.32012,1.31449,1.3295,0.001876428571428525,5.0,0.01,7482,2025-08-01 12:00:00,1.31449,SL,5,False,False,-0.005630000000000024,-3.00038066235258,-5.630000000000024,-0.0,0.08,0,-5.710000000000024,
14,long,8028,2025-09-03 06:00:00,1.33658,1.33176,1.34461,0.0016064285714285484,5.0,0.01,8039,2025-09-03 17:00:00,1.34461,TP,11,False,False,0.008029999999999982,4.998666073810643,8.029999999999982,-0.0,0.08,0,7.9499999999999815,
15,long,8325,2025-09-19 15:00:00,1.34776,1.3424,1.35669,0.0017850000000000366,1.0,0.01,8373,2025-09-23 15:00:00,1.35143,TIME,48,False,False,0.00366999999999984,2.056022408963454,3.6699999999998405,-0.0764,0.08,4,3.5135999999998404,boundary
16,long,8429,2025-09-25 23:00:00,1.33369,1.32706,1.34474,0.002210714285714304,6.0,0.01,8464,2025-09-29 10:00:00,1.34474,TP,35,False,False,0.011050000000000004,4.9983844911146615,11.050000000000004,-0.0764,0.08,4,10.893600000000005,
17,long,10654,2026-02-06 07:00:00,1.35597,1.35058,1.36495,0.001796428571428556,5.0,0.01,10685,2026-02-09 14:00:00,1.36495,TP,31,False,False,0.00898000000000021,4.998807157057814,8.98000000000021,-0.0573,0.08,3,8.84270000000021,
