bar_time,in_py,in_mt5,class,detail,direction,entry_py,entry_mt5,d_entry_pts,d_sl_pts,d_tp_pts,exit_py,exit_mt5,d_exit_pts,points_py,points_mt5,ambiguous
2024-08-02 10:00:00,True,True,MATCH,,long,1.27266,1.27266,0.0,0.9999999999843466,0.0,TP,TP,0.0,0.00628,0.006280000000000063,False
2024-10-03 16:00:00,True,True,MATCH,,long,1.31135,1.31135,0.0,0.0,0.0,TIME,TIME,0.0,-0.0034799999999999,-0.0034799999999999276,False
2024-11-12 22:00:00,True,True,MATCH,,long,1.27367,1.27367,0.0,0.0,0.0,SL,SL,0.0,-0.0065700000000001,-0.006570000000000187,False
2024-12-16 04:00:00,True,True,MATCH,,long,1.26358,1.26358,0.0,0.9999999999843466,0.0,TP,TP,0.0,0.0080299999999999,0.008029999999999982,False
2024-12-20 01:00:00,True,True,MATCH,,long,1.25069,1.25069,0.0,0.0,0.0,TIME,TIME,0.0,0.0030999999999998,0.0030999999999998806,False
2025-01-02 20:00:00,True,True,MATCH,,long,1.23726,1.23726,0.0,0.0,0.0,TP,TP,0.0,0.0114,0.011400000000000077,False
2025-01-09 06:00:00,True,True,MATCH,,long,1.23445,1.23445,0.0,0.0,0.0,SL,SL,0.0,-0.0056100000000001,-0.005610000000000115,False
2025-01-10 06:00:00,True,True,MATCH,,long,1.23011,1.23011,0.0,0.0,0.0,SL,SL,0.0,-0.00364,-0.0036400000000000876,False
2025-01-13 07:00:00,True,True,MATCH,,long,1.21396,1.21396,0.0,0.0,0.9999999999843466,TP,TP,0.9999999999843466,0.0106700000000001,0.010680000000000023,False
2025-04-07 16:00:00,True,True,MATCH,,long,1.28372,1.28372,0.0,0.0,0.0,SL,SL,0.0,-0.0115199999999999,-0.011519999999999975,False
2025-04-08 16:00:00,True,True,MATCH,,long,1.27765,1.27765,0.0,0.0,0.0,TP,TP,0.0,0.01217,0.012170000000000014,False
2025-06-18 15:00:00,True,True,MATCH,,long,1.34526,1.34526,0.0,0.0,0.0,SL,SL,0.0,-0.0047399999999999,-0.0047399999999999665,False
2025-08-01 07:00:00,True,True,MATCH,,long,1.32012,1.32012,0.0,0.0,0.0,SL,SL,0.0,-0.00563,-0.005630000000000024,False
2025-09-03 06:00:00,True,True,MATCH,,long,1.33658,1.33658,0.0,0.0,0.0,TP,TP,0.0,0.0080299999999999,0.008029999999999982,False
2025-09-19 15:00:00,True,True,BOUNDARY,SL +1.0p TP +0.0p  (stop sat on a .5-tick boundary),long,1.34776,1.34776,0.0,1.0000000000065512,0.0,TIME,TIME,0.0,0.0036699999999998,0.00366999999999984,False
2025-09-25 23:00:00,True,True,MATCH,,long,1.33369,1.33369,0.0,0.0,0.0,TP,TP,0.0,0.01105,0.011050000000000004,False
2026-02-06 07:00:00,True,False,LOGIC,python-only trade,long,,,,,,,,,,,
