campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
0,2022-02-22 00:00:00,2022-02-24 00:00:00,flat,long,13,2.0,"fast,medium,slow",3,3,0.09,0.09,36.62999999999943,2.4299999999998363,0.35325,-18.863999999999997,0.18,14.98274999999959,266.79201290286676,0.1372979633139753,0.05615891509261369,-160.39125000000058,14.982749999995576,-0.6011846016484593,0.05615891509259864
1,2022-03-07 00:00:00,2022-03-14 12:00:00,flat,long,34,7.5,"fast,medium,slow",3,3,0.06,0.06,-202.46000000000004,1.599999999999909,0.314,-24.104,0.33999999999999997,-228.47799999999995,279.70534780892666,-0.7238331393588701,-0.8168524548771898,-228.4780000000028,307.5405000000028,-0.8168524548772,1.099515981403727
2,2022-03-15 00:00:00,2022-03-17 04:00:00,flat,short,14,2.1666666666666665,fast,1,1,0.01,0.01,6.720000000000027,0.049999999999954525,0.03925,0.9431999999999999,0.02,7.573950000000073,54.80910209399597,0.12260737255785414,0.13818781389651258,0.0,34.218150000000605,0.0,0.6243150990015764
3,2022-03-23 20:00:00,2022-03-29 00:00:00,flat,long,20,5.166666666666667,fast,1,1,0.03,0.03,-63.98999999999978,0.8999999999998636,0.11775,-7.859999999999999,0.15,-72.86774999999965,91.35368448875104,-0.7004643584778376,-0.797644346889723,-72.86775000000489,62.52224999999453,-0.7976443468897804,0.6843976830260556
4,2022-04-18 00:00:00,2022-04-19 00:00:00,flat,long,7,1.0,"fast,medium,slow",3,3,0.06,0.06,-70.80000000000109,1.5,0.2355,-3.1439999999999997,0.06,-75.6795000000011,204.83944221405721,-0.34563655922288194,-0.36945765513711964,-75.67949999999837,42.96450000000186,-0.3694576551371063,0.20974720266570518
5,2022-05-11 00:00:00,2022-06-02 20:00:00,reversal,short,102,22.833333333333332,"fast,medium,slow",3,5,0.06,0.06,-211.5399999999986,2.7999999999994998,0.785,22.400999999999996,0.7900000000000003,-192.7239999999981,386.62391448180176,-0.547146702716331,-0.4984792527857703,-182.64400000000023,207.8984999999957,-0.4724074046086904,0.537727988913064
6,2022-06-03 00:00:00,2022-06-06 00:00:00,flat,long,7,3.0,"fast,medium",2,2,0.06,0.06,-135.05999999999995,2.0,0.314,-8.9604,0.2,-146.33439999999993,171.7068798910268,-0.78657302541235,-0.8522337607722565,-146.80599999999686,0.0,-0.8549803018560863,0.0
7,2022-08-02 00:00:00,2022-08-19 00:00:00,flat,long,79,17.0,"fast,medium",2,2,0.06,0.06,-145.2900000000002,2.129999999999427,0.35324999999999995,-40.872,0.54,-188.64524999999963,181.02440560149364,-0.8025989618208772,-1.0420984362477759,-188.67525000000023,26.10450000000128,-1.0422641597583762,0.1442043127459157
8,2022-08-22 00:00:00,2022-09-12 00:00:00,flat,short,91,21.0,"fast,medium,slow",3,4,0.09,0.09,12.44999999999959,3.5699999999987995,0.8242499999999999,33.9552,1.2000000000000002,42.01095000000079,308.5670586266359,0.040347793621949804,0.13614852533832447,-96.42149999999674,354.88395000001765,-0.31248150865211477,1.1501031625978744
9,2022-09-26 00:00:00,2022-09-30 00:00:00,flat,short,25,4.0,"fast,medium,slow",3,3,0.06,0.06,-220.5600000000013,0.29999999999972715,0.2355,8.4888,0.24,-212.60670000000104,229.100284686582,-0.9627225051323522,-0.928007140151987,-212.60669999998936,51.92369999999937,-0.9280071401519361,0.22664179606338328
