campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
0,2022-02-22 00:00:00,2022-02-24 00:00:00,flat,long,13,2.0,"fast,medium,slow",3,3,0.06,0.06,-177.86134193524413,1.919999999999618,0.47100000000000003,-12.575999999999999,0.12,-192.82834193524374,177.86134193524452,-0.9999999999999978,-1.0841498205127025,-106.92749999999978,9.988499999999476,-0.6011846016484559,0.056158915092612276
1,2022-03-07 00:00:00,2022-03-14 12:00:00,flat,long,34,7.5,"fast,medium,slow",3,3,0.03,0.03,-116.42511593630888,0.7999999999999545,0.157,-12.052,0.16999999999999998,-129.43411593630884,139.85267390446333,-0.832484018259398,-0.9255033337777178,-114.23899999999958,153.77024999999958,-0.8168524548771869,1.0995159814037139
2,2022-03-15 00:00:00,2022-03-17 04:00:00,flat,short,14,2.1666666666666665,fast,1,1,0.01,0.01,6.720000000000027,0.049999999999954525,0.03925,0.9431999999999999,0.02,7.573950000000073,54.80910209399597,0.12260737255785414,0.13818781389651258,0.0,34.218150000000605,0.0,0.6243150990015764
3,2022-03-23 20:00:00,2022-03-29 00:00:00,flat,long,20,5.166666666666667,fast,1,1,0.02,0.02,-60.90245632583401,0.6999999999998181,0.157,-5.24,0.1,-66.99945632583382,60.90245632583403,-0.9999999999999997,-1.100110904679776,-48.57850000000144,41.68149999999878,-0.7976443468897505,0.6843976830260954
4,2022-04-18 00:00:00,2022-04-19 00:00:00,flat,long,7,1.0,"fast,medium,slow",3,3,0.03,0.03,-102.41972110702886,0.8999999999998636,0.23550000000000001,-1.5719999999999998,0.03,-105.12722110702873,102.41972110702861,-1.0000000000000024,-1.0264353385337848,-37.839749999999185,21.48225000000093,-0.3694576551371063,0.20974720266570518
5,2022-05-11 00:00:00,2022-06-02 20:00:00,reversal,short,102,22.833333333333332,"fast,medium,slow",3,5,0.04,0.03,-140.50371936496913,1.1499999999996362,0.43175,11.318399999999999,0.40000000000000013,-130.76706936496876,207.1120322865678,-0.6783947693128859,-0.6313832563046586,-127.35365018266748,103.94925000000148,-0.6149022284058142,0.5018986528806472
6,2022-06-03 00:00:00,2022-06-06 00:00:00,flat,long,7,3.0,"fast,medium",2,2,0.04,0.04,-114.47125326068455,1.2499999999997726,0.35325,-6.0522,0.13,-122.12670326068432,114.47125326068455,-1.0,-1.066876615586326,-95.9476691823038,0.0,-0.8381813464014661,0.0
7,2022-08-02 00:00:00,2022-08-19 00:00:00,flat,long,79,17.0,"fast,medium",2,2,0.04,0.04,-107.48146853383105,1.519999999999527,0.314,-27.247999999999998,0.36,-136.56346853383056,120.68293706766244,-0.8906103144769354,-1.1315888712359106,-125.78349999999955,17.403000000000247,-1.042264159758371,0.14420431274591064
8,2022-08-22 00:00:00,2022-09-05 20:00:00,reversal,short,66,14.833333333333334,"fast,medium",2,2,0.04,0.04,85.55999999999949,0.1999999999998181,0.157,16.977599999999995,0.5599999999999999,102.18059999999967,101.6344579038321,0.8418404718698606,1.005373591864723,-64.28100000000086,214.56780000000072,-0.6324725031821826,2.1111717858821826
9,2022-09-06 00:00:00,2022-09-07 00:00:00,flat,long,7,1.0,fast,1,1,0.02,0.02,-49.77652818697106,2.0799999999994725,0.314,-2.2007999999999996,0.06,-54.37132818697054,49.776528186971056,-1.0000000000000002,-1.0923085672576531,-60.959500000000844,0.0,-1.2246635557028849,0.0
10,2022-09-26 00:00:00,2022-09-30 00:00:00,flat,short,25,4.0,"fast,medium,slow",3,3,0.03,0.03,-114.55014234329087,0.29999999999972715,0.23550000000000001,4.2444,0.12,-110.8412423432906,114.550142343291,-0.9999999999999989,-0.9676220393608475,-106.30335000000014,25.961849999999686,-0.9280071401519837,0.22664179606338328
11,2022-10-21 04:00:00,2022-10-21 16:00:00,flat,short,4,0.5,"fast,medium",2,2,0.04,0.04,-120.97910300212607,0.1999999999998181,0.157,0.0,0.0,-121.33610300212588,120.97910300212627,-0.9999999999999983,-1.0029509228547788,-118.99700000000121,4.4429999999993015,-0.9836161539229612,0.0367253508229534
12,2022-10-26 08:00:00,2022-10-28 08:00:00,flat,long,13,2.0,fast,1,1,0.02,0.02,-44.7800000000002,0.599999999999909,0.0785,-2.096,0.04,-47.554500000000104,54.54523042165346,-0.8209700399803126,-0.8718360823189747,-47.61449999999968,0.0,-0.8729360868388154,0.0
