date,equity
2021-12-31,100000.0
2022-01-02,100000.0
2022-01-03,100000.0
2022-01-04,100000.0
2022-01-05,100000.0
2022-01-06,100000.0
2022-01-07,100000.0
2022-01-09,100000.0
2022-01-10,100000.0
2022-01-11,100000.0
2022-01-12,100000.0
2022-01-13,100000.0
2022-01-14,100000.0
2022-01-16,100000.0
2022-01-17,100000.0
2022-01-18,100000.0
2022-01-19,100000.0
2022-01-20,100000.0
2022-01-21,100000.0
2022-01-23,100000.0
2022-01-24,100000.0
2022-01-25,100000.0
2022-01-26,100000.0
2022-01-27,100000.0
2022-01-28,100000.0
2022-01-30,100000.0
2022-01-31,100000.0
2022-02-01,100000.0
2022-02-02,100000.0
2022-02-03,100000.0
2022-02-04,100000.0
2022-02-06,100000.0
2022-02-07,100000.0
2022-02-08,100000.0
2022-02-09,100000.0
2022-02-10,100000.0
2022-02-11,100000.0
2022-02-13,100000.0
2022-02-14,100000.0
2022-02-15,100000.0
2022-02-16,100000.0
2022-02-17,100000.0
2022-02-18,100000.0
2022-02-20,100000.0
2022-02-21,100000.0
2022-02-22,99883.07875
2022-02-23,100014.98275
2022-02-24,100014.1795
2022-02-25,100014.1795
2022-02-27,100014.1795
2022-02-28,100014.1795
2022-03-01,100014.1795
2022-03-02,100014.1795
2022-03-03,100014.1795
2022-03-04,100014.1795
2022-03-06,100014.1795
2022-03-07,99932.44
2022-03-08,100263.748
2022-03-09,99857.584
2022-03-10,99926.2695
2022-03-11,99910.7495
2022-03-13,99847.1415
2022-03-14,99785.3445
2022-03-15,99806.92265000001
2022-03-16,99793.64845
2022-03-17,99792.6092
2022-03-18,99792.6092
2022-03-20,99792.6092
2022-03-21,99792.6092
2022-03-22,99792.6092
2022-03-23,99784.79945
2022-03-24,99838.27745
2022-03-25,99831.22745
2022-03-27,99825.28145
2022-03-28,99718.16945
2022-03-29,99717.9017
2022-03-30,99717.9017
2022-03-31,99717.9017
2022-04-01,99717.9017
2022-04-03,99717.9017
2022-04-04,99717.9017
2022-04-05,99717.9017
2022-04-06,99717.9017
2022-04-07,99717.9017
2022-04-08,99717.9017
2022-04-10,99717.9017
2022-04-11,99717.9017
2022-04-12,99717.9017
2022-04-13,99717.9017
2022-04-14,99717.9017
2022-04-17,99717.9017
2022-04-18,99642.2222
2022-04-19,99641.6867
2022-04-20,99641.6867
2022-04-21,99641.6867
2022-04-22,99641.6867
2022-04-24,99641.6867
2022-04-25,99641.6867
2022-04-26,99641.6867
2022-04-27,99641.6867
2022-04-28,99641.6867
2022-04-29,99641.6867
2022-05-01,99641.6867
2022-05-02,99641.6867
2022-05-03,99641.6867
2022-05-04,99641.6867
2022-05-05,99641.6867
2022-05-06,99641.6867
2022-05-08,99641.6867
2022-05-09,99641.6867
2022-05-10,99641.6867
2022-05-11,99494.06599999999
2022-05-12,99704.6408
2022-05-13,99768.12079999999
2022-05-15,99748.1852
2022-05-16,99691.52
2022-05-17,99751.4444
2022-05-18,99759.7592
2022-05-19,99603.734
2022-05-20,99572.954
2022-05-22,99541.19840000001
2022-05-23,99539.4629
2022-05-24,99539.4629
2022-05-25,99539.4629
2022-05-26,99539.4629
2022-05-27,99539.4629
2022-05-29,99539.4629
2022-05-30,99539.4629
2022-05-31,99564.2792
2022-06-01,99502.39045
2022-06-02,99449.43430000001
2022-06-03,99313.3203
2022-06-05,99302.62830000001
2022-06-06,99302.0928
2022-06-07,99302.0928
2022-06-08,99302.0928
2022-06-09,99302.0928
2022-06-10,99302.0928
2022-06-12,99302.0928
2022-06-13,99302.0928
2022-06-14,99302.0928
2022-06-15,99302.0928
2022-06-16,99302.0928
2022-06-17,99302.0928
2022-06-19,99302.0928
2022-06-20,99302.0928
2022-06-21,99302.0928
2022-06-22,99302.0928
2022-06-23,99302.0928
2022-06-24,99302.0928
2022-06-26,99302.0928
2022-06-27,99302.0928
2022-06-28,99302.0928
2022-06-29,99302.0928
2022-06-30,99302.0928
2022-07-01,99302.0928
2022-07-03,99302.0928
2022-07-04,99302.0928
2022-07-05,99302.0928
2022-07-06,99302.0928
2022-07-07,99302.0928
2022-07-08,99302.0928
2022-07-10,99302.0928
2022-07-11,99302.0928
2022-07-12,99302.0928
2022-07-13,99302.0928
2022-07-14,99302.0928
2022-07-15,99302.0928
2022-07-17,99302.0928
2022-07-18,99302.0928
2022-07-19,99302.0928
2022-07-20,99302.0928
2022-07-21,99302.0928
2022-07-22,99302.0928
2022-07-24,99302.0928
2022-07-25,99302.0928
2022-07-26,99302.0928
2022-07-27,99302.0928
2022-07-28,99302.0928
2022-07-29,99302.0928
2022-07-31,99302.0928
2022-08-01,99302.0928
2022-08-02,99149.02530000001
2022-08-03,99179.34555000001
2022-08-04,99257.54355
2022-08-05,99201.11355000001
2022-08-07,99193.33755000001
2022-08-08,99236.31555
2022-08-09,99242.75955
2022-08-10,99234.34755
2022-08-11,99226.32555000001
2022-08-12,99268.11555
2022-08-14,99260.09955
2022-08-15,99188.08755000001
2022-08-16,99174.40155000001
2022-08-17,99144.95955
2022-08-18,99113.41755
2022-08-19,99113.1798
2022-08-21,99113.1798
2022-08-22,99157.4991
2022-08-23,99113.5035
2022-08-24,99074.8383
2022-08-25,99060.83310000002
2022-08-26,99166.5531
