campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
0,2022-02-22 00:00:00,2022-02-24 00:00:00,flat,long,13,2.0,"fast,medium,slow",3,3,0.09,0.07,36.62999999999943,1.889999999999873,0.27475000000000005,-14.672,0.14,19.793249999999556,266.79201290286676,0.1372979633139753,0.07418981469736073,-124.74875000000065,11.653250000001208,-0.467588023504358,0.0436791561831497
1,2022-03-07 00:00:00,2022-03-14 12:00:00,flat,long,34,7.5,"fast,medium,slow",3,3,0.06,0.06,-202.46000000000004,1.599999999999909,0.314,-24.104,0.33999999999999997,-228.47799999999995,279.70534780892666,-0.7238331393588701,-0.8168524548771898,-228.47800000000097,307.54049999999916,-0.8168524548771935,1.0995159814037139
2,2022-03-15 00:00:00,2022-03-17 04:00:00,flat,short,14,2.1666666666666665,fast,1,1,0.01,0.01,6.720000000000027,0.049999999999954525,0.03925,0.9431999999999999,0.02,7.573950000000073,54.80910209399597,0.12260737255785414,0.13818781389651258,0.0,34.218150000000605,0.0,0.6243150990015764
3,2022-03-23 20:00:00,2022-03-29 00:00:00,flat,long,20,5.166666666666667,fast,1,1,0.03,0.03,-63.98999999999978,0.8999999999998636,0.11775,-9.431999999999999,0.18,-74.43974999999965,91.35368448875104,-0.7004643584778376,-0.8148521914205429,-74.43974999999955,60.95024999999805,-0.8148521914205419,0.6671898384952742
4,2022-04-18 00:00:00,2022-04-19 00:00:00,flat,long,7,1.0,"fast,medium,slow",3,3,0.06,0.06,-70.80000000000109,1.5,0.2355,-3.1439999999999997,0.06,-75.6795000000011,204.83944221405721,-0.34563655922288194,-0.36945765513711964,-75.67950000000019,42.964500000000044,-0.3694576551371152,0.2097472026656963
5,2022-05-11 00:00:00,2022-06-02 20:00:00,reversal,short,102,22.833333333333332,"fast,medium,slow",3,5,0.06,0.06,-211.5399999999986,2.7999999999994998,0.785,22.400999999999996,0.7900000000000003,-192.7239999999981,386.62391448180176,-0.547146702716331,-0.4984792527857703,-182.6439999999984,207.89850000000115,-0.4724074046086857,0.537727988913078
6,2022-06-03 00:00:00,2022-06-06 00:00:00,flat,long,7,3.0,"fast,medium",2,2,0.06,0.06,-135.05999999999995,2.0,0.314,-8.9604,0.2,-146.33439999999993,171.7068798910268,-0.78657302541235,-0.8522337607722565,-146.80599999999868,0.0,-0.854980301856097,0.0
7,2022-08-02 00:00:00,2022-08-19 00:00:00,flat,long,79,17.0,"fast,medium",2,2,0.06,0.06,-145.2900000000002,2.129999999999427,0.35324999999999995,-40.872,0.54,-188.64524999999963,181.02440560149364,-0.8025989618208772,-1.0420984362477759,-188.67525000000023,26.10449999999946,-1.0422641597583762,0.14420431274590564
8,2022-08-22 00:00:00,2022-09-12 00:00:00,flat,short,91,21.0,"fast,medium,slow",3,4,0.09,0.08,12.44999999999959,3.1899999999989177,0.74575,32.776199999999996,1.1500000000000001,41.29045000000067,308.5670586266359,0.040347793621949804,0.13381353856686898,-96.42149999999856,343.8732000000018,-0.31248150865212065,1.1144196711421686
9,2022-09-26 00:00:00,2022-09-30 00:00:00,flat,short,25,4.0,"fast,medium,slow",3,3,0.06,0.06,-220.5600000000013,0.29999999999972715,0.2355,8.4888,0.24,-212.60670000000104,229.100284686582,-0.9627225051323522,-0.928007140151987,-212.60670000000027,51.92369999999937,-0.9280071401519837,0.22664179606338328
10,2022-10-21 04:00:00,2022-10-21 16:00:00,flat,short,4,0.5,"fast,medium",2,2,0.04,0.04,-118.64000000000033,0.1999999999998181,0.157,0.0,0.0,-118.99700000000014,120.97910300212627,-0.9806652310681719,-0.9836161539229524,-118.99700000000121,4.4429999999993015,-0.9836161539229612,0.0367253508229534
11,2022-10-26 08:00:00,2022-10-28 08:00:00,flat,long,13,2.0,fast,1,1,0.03,0.03,-67.1700000000003,0.8999999999998636,0.11775,-3.1439999999999997,0.06,-71.33175000000017,81.81784563248019,-0.8209700399803126,-0.8718360823189748,-71.4217499999977,0.0,-0.8729360868387932,0.0
12,2022-11-03 08:00:00,2022-11-04 04:00:00,flat,short,6,0.8333333333333334,fast,1,1,0.03,0.03,-69.26999999999975,0.14999999999986358,0.11775,0.7073999999999999,0.03,-68.83034999999961,71.30552588000755,-0.9714534623384846,-0.9652877410346409,-68.5903500000004,14.132250000000568,-0.9619219429841072,0.19819291458255592
13,2022-11-04 16:00:00,2022-11-18 12:00:00,reversal,long,60,13.833333333333334,"fast,medium,slow",3,3,0.09,0.07,439.6500000000012,2.149999999999636,0.31400000000000006,-56.40859999999999,0.8400000000000003,380.7774000000016,235.72291535834555,1.8651135352354102,1.6153601334055472,-25.725749999999607,544.0612500000025,-0.10913554993536105,2.3080541370910908
14,2022-11-18 16:00:00,2022-11-24 00:00:00,flat,short,21,5.333333333333333,"fast,slow",2,1,0.07,0.04,-17.0,0.49999999999954525,0.39249999999999996,2.2793999999999994,0.21,-15.613099999999545,89.91058679412298,-0.18907673285379123,-0.17365140810114363,-56.649100000000544,18.72769999999946,-0.6300603968886945,0.20829248999210845
15,2022-11-30 20:00:00,2023-01-31 04:00:00,reversal,long,249,61.333333333333336,"fast,medium,slow",3,9,0.1,0.07,491.3800000000001,4.409999999998948,0.7457500000000004,-269.336,4.06,216.88825000000116,692.2386538647005,0.7098418981036002,0.31331427216486013,-91.50099999999838,771.9162500000057,-0.13218129251979396,1.1151013392425762
16,2023-01-31 08:00:00,2023-01-31 16:00:00,flat,short,3,0.3333333333333333,fast,1,1,0.03,0.03,-77.19000000000005,0.49999999999954525,0.3925,-3.668,0.07,-81.7504999999996,71.7028629692828,-1.076526052147568,-1.1401288123602702,-78.08249999999862,0.0,-1.0889732538775867,0.0
17,2023-02-01 20:00:00,2023-02-02 16:00:00,flat,long,6,0.8333333333333334,"fast,medium,slow",3,3,0.09,0.07,-348.9299999999998,2.309999999999491,0.27475000000000005,-3.668,0.07,-355.18274999999926,235.39040653282063,-1.482345882908139,-1.5089091999612818,-277.64274999999907,32.66725000000042,-1.1794990037594721,0.1387790202717782
18,2023-02-03 12:00:00,2023-02-09 08:00:00,reversal,short,24,5.833333333333333,"fast,medium",2,2,0.06,0.06,-5.910000000000082,1.1999999999995907,0.35324999999999995,10.610999999999999,0.32999999999999996,3.1477500000003262,174.85741604973774,-0.0337989668011507,0.01800181010970079,0.0,139.38450000000012,0.0,0.7971323330109863
19,2023-02-09 12:00:00,2023-02-09 16:00:00,flat,long,2,0.16666666666666666,fast,1,1,0.03,0.03,-63.29999999999972,1.7999999999997272,0.2355,0.7073999999999999,0.03,-64.62809999999945,75.98637254877302,-0.8330441087889758,-0.850522242768161,-65.57549999999901,0.0,-0.8629902678655751,0.0
20,2023-02-09 20:00:00,2023-03-03 04:00:00,reversal,short,93,21.333333333333332,"fast,medium,slow",3,3,0.09,0.07,132.08999999999992,0.7999999999995001,0.4317500000000001,41.97239999999999,1.3800000000000003,172.83065000000042,234.04307875261523,0.564383278087107,0.7384565735553468,-42.57454999999936,364.3256500000025,-0.1819090324179203,1.5566606453040923
21,2023-03-03 08:00:00,2023-03-07 12:00:00,flat,long,14,4.166666666666667,fast,1,1,0.05,0.05,-51.69999999999959,3.2999999999994998,0.43175,-9.0652,0.26,-64.49694999999909,88.05562200082552,-0.587128894501647,-0.7324569236407691,-65.81175000000076,48.96825000000172,-0.7473883950235883,0.5561058895199519
22,2023-03-07 16:00:00,2023-03-09 12:00:00,flat,short,12,1.8333333333333333,fast,1,1,0.04,0.04,-32.51999999999953,0.4499999999995907,0.35325,1.1527999999999996,0.13,-32.17044999999912,75.52776214357122,-0.43057015165075385,-0.4259420521270854,-28.94419999999991,22.255800000000818,-0.3832259711995662,0.2946704545236574
23,2023-03-10 16:00:00,2023-04-19 04:00:00,reversal,long,160,39.5,"fast,medium,slow",3,10,0.11,0.07,492.5200000000011,6.249999999998408,1.3737500000000002,-160.868,2.4300000000000006,324.02825000000274,799.1093302227616,0.6163361900213392,0.4054867559983011,0.0,882.929250000001,0.0,1.1048916795326036
24,2023-04-19 08:00:00,2023-05-01 12:00:00,flat,short,50,12.166666666666666,"fast,medium",2,1,0.05,0.05,-80.36999999999989,1.1999999999995907,0.35324999999999995,5.737799999999998,0.27999999999999997,-76.18544999999949,86.93592386927206,-0.9244739852406063,-0.8763402585398603,-133.2465000000011,0.0,-1.5326978085649325,0.0
25,2023-05-02 16:00:00,2023-05-11 12:00:00,reversal,long,42,8.833333333333334,"fast,medium,slow",3,3,0.08,0.06,-100.69000000000051,1.9499999999995907,0.35324999999999995,-28.295999999999996,0.36,-131.2892500000001,234.11610420687583,-0.430085748868545,-0.5607869242689381,-46.43549999999959,221.0684999999994,-0.19834389504007394,0.9442686599835655
26,2023-05-11 16:00:00,2023-07-11 04:00:00,reversal,short,256,60.5,"fast,medium,slow",3,12,0.12,0.07,-76.57999999999946,7.099999999997635,1.9232500000000003,92.27640000000001,3.15,6.67315000000292,1001.4949986053792,-0.07646568390919584,0.006663188542424616,-11.565899999999601,444.5166000000045,-0.011548634807068999,0.4438530403237272
27,2023-07-11 08:00:00,2023-07-27 12:00:00,reversal,long,74,16.166666666666668,"fast,medium,slow",3,5,0.15000000000000002,0.07,-61.60000000000083,5.989999999998645,1.05975,-62.98479999999999,0.9800000000000004,-131.63454999999948,453.05679295796676,-0.1359652938825175,-0.2905475694130297,-43.06774999999834,244.42525000000023,-0.09506037801312481,0.539502450463594
28,2023-07-27 16:00:00,2023-07-31 12:00:00,flat,short,12,3.8333333333333335,"fast,medium",2,2,0.08,0.07,-170.2400000000016,1.0699999999992542,0.5495,3.2749999999999995,0.3,-168.58450000000084,171.44146992605408,-0.9929919527254946,-0.9833355959483694,-146.77449999999953,0.0,-0.8561201677943273,0.0
29,2023-08-02 16:00:00,2023-08-23 12:00:00,reversal,short,90,20.833333333333332,"fast,medium,slow",3,3,0.13,0.07,201.35000000000036,2.6099999999989927,0.7457500000000004,43.62299999999998,1.4300000000000004,241.61725000000138,248.60402296379806,0.8099225330288445,0.9718959778667214,-58.59390000000167,338.0948499999995,-0.23569168069550572,1.3599733663571212
30,2023-08-23 16:00:00,2023-08-25 16:00:00,flat,long,13,2.0,"fast,medium",2,2,0.1,0.07,-103.39999999999804,4.47999999999911,0.5495000000000001,-1.336199999999999,0.19,-109.76569999999715,163.08355894032786,-0.6340308040360587,-0.673064168535593,-81.74749999999585,0.0,-0.5012614424848748,0.0
31,2023-08-29 16:00:00,2023-09-05 04:00:00,reversal,long,28,6.5,"fast,medium,slow",3,3,0.16,0.07,-75.27000000000135,2.2699999999995275,0.35325000000000006,-28.820000000000004,0.41,-106.71325000000088,253.2737155641325,-0.2971883593698135,-0.42133566747071144,-20.063250000001062,74.48524999999972,-0.07921568156140057,0.2940899328384473
32,2023-09-05 08:00:00,2023-09-15 12:00:00,reversal,short,50,10.166666666666666,"fast,medium",2,2,0.12,0.07,9.419999999999618,0.9099999999994,0.5102500000000001,18.3662,0.6800000000000002,26.36595000000022,158.43008544945823,0.05945840383330949,0.16642009581198758,-3.321749999999156,197.2545999999984,-0.020966661670196778,1.2450577138830479
33,2023-09-15 16:00:00,2023-09-21 08:00:00,flat,long,23,5.666666666666667,"fast,medium",2,2,0.13,0.07,-91.69000000000051,0.9099999999994,0.51025,-25.5974,0.45,-118.70764999999992,175.87357038151958,-0.5213404140320739,-0.6749601417796284,-54.83824999999888,114.02975000000151,-0.31180495102839606,0.6483620577704694
34,2023-09-21 12:00:00,2023-10-11 04:00:00,reversal,short,83,19.666666666666668,"fast,medium,slow",3,4,0.16999999999999998,0.08,1435.3000000000013,2.9999999999986358,0.90275,32.409400000000005,1.2800000000000002,1463.8066500000027,329.1244236723187,4.360964719619252,4.447578316027348,-50.36725000000115,705.0459500000015,-0.15303406972357528,2.1421866603918645
35,2023-10-11 08:00:00,2023-11-07 04:00:00,reversal,long,114,26.833333333333332,"fast,medium,slow",3,2,0.13,0.07,500.01,1.259999999998854,0.35325,-118.05720000000002,1.8800000000000003,380.3395500000011,176.64306182833468,2.8306234891122974,2.153153065075507,-40.01925000000119,855.0287499999995,-0.22655432704678044,4.840432118590278
36,2023-11-07 08:00:00,2023-11-15 04:00:00,reversal,short,36,7.833333333333333,"fast,medium",2,2,0.1,0.07,-28.200000000000507,1.1999999999993638,0.6280000000000001,13.3096,0.5900000000000001,-16.71839999999987,197.23604461510502,-0.14297589497412205,-0.08476341143742201,-15.920999999998457,197.97050000000127,-0.08072053985399773,1.00372373815511
37,2023-11-15 08:00:00,2023-11-20 12:00:00,flat,long,20,5.166666666666667,fast,1,1,0.05,0.05,-15.850000000000364,1.5999999999985448,0.3925,-9.563,0.3,-27.40549999999891,92.43392026288491,-0.17147384807354785,-0.2964874790775597,-69.96249999999782,92.01750000000175,-0.7568920565201857,0.995494941016254
38,2023-11-21 12:00:00,2023-12-08 12:00:00,reversal,long,79,17.0,"fast,medium,slow",3,4,0.13,0.07,130.6399999999992,1.5499999999985905,0.5102500000000001,-72.83600000000001,1.05,55.743750000000574,324.41983001310047,0.4026880847410708,0.17182596389915367,-61.818749999998545,566.5292500000014,-0.19055169962175933,1.7462842822435494
