campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
0,2022-02-22 00:00:00,2022-02-24 00:00:00,flat,long,13,2.0,"fast,medium,slow",3,3,0.009000000000000001,0.009000000000000001,3.662999999999943,0.24299999999998367,0.035325,-1.8864,0.018000000000000002,1.4982749999999592,26.67920129028668,0.13729796331397529,0.056158915092613684,-16.03912499999933,1.4982749999999214,-0.601184601648432,0.05615891509261227
1,2022-03-07 00:00:00,2022-03-14 12:00:00,flat,long,34,7.5,"fast,medium,slow",3,3,0.006,0.006,-20.246000000000002,0.1599999999999909,0.0314,-2.4104,0.034,-22.847799999999992,27.970534780892663,-0.7238331393588701,-0.8168524548771898,-22.847799999999552,30.75405000000137,-0.8168524548771741,1.099515981403766
2,2022-03-15 00:00:00,2022-03-17 04:00:00,flat,short,14,2.1666666666666665,fast,1,1,0.001,0.001,0.6720000000000027,0.0049999999999954525,0.0039250000000000005,0.09432,0.002,0.7573950000000073,5.480910209399597,0.12260737255785413,0.13818781389651258,0.0,3.4218149999978777,0.0,0.6243150990011782
3,2022-03-23 20:00:00,2022-03-29 00:00:00,flat,long,20,5.166666666666667,fast,1,1,0.003,0.003,-6.398999999999979,0.08999999999998635,0.011774999999999999,-0.9432,0.018,-7.443974999999965,9.135368448875104,-0.7004643584778377,-0.814852191420543,-7.443975000000137,6.095024999998714,-0.8148521914205618,0.6671898384951548
4,2022-04-18 00:00:00,2022-04-19 00:00:00,flat,long,7,1.0,"fast,medium,slow",3,3,0.006,0.006,-7.080000000000108,0.15,0.023549999999999998,-0.3144,0.006,-7.567950000000109,20.48394422140572,-0.3456365592228819,-0.3694576551371196,-7.567949999998746,4.2964499999998225,-0.36945765513705303,0.20974720266568742
5,2022-05-11 00:00:00,2022-06-02 20:00:00,reversal,short,102,22.833333333333332,"fast,medium,slow",3,5,0.006,0.006,-21.153999999999858,0.27999999999994996,0.07849999999999999,2.2401000000000004,0.07900000000000001,-19.272399999999806,38.66239144818017,-0.547146702716331,-0.4984792527857702,-18.264400000000023,20.789850000001024,-0.4724074046086904,0.5377279889131017
6,2022-06-03 00:00:00,2022-06-06 00:00:00,flat,long,7,3.0,"fast,medium",2,2,0.006,0.006,-13.505999999999997,0.2,0.031400000000000004,-0.8960400000000002,0.020000000000000004,-14.633439999999997,17.17068798910268,-0.78657302541235,-0.8522337607722568,-14.680599999999686,0.0,-0.8549803018560863,0.0
7,2022-08-02 00:00:00,2022-08-19 00:00:00,flat,long,79,17.0,"fast,medium",2,2,0.006,0.006,-14.52900000000002,0.2129999999999427,0.035324999999999995,-4.0872,0.054000000000000006,-18.86452499999996,18.102440560149365,-0.8025989618208772,-1.0420984362477757,-18.86752499999966,2.610450000000128,-1.042264159758356,0.1442043127459157
8,2022-08-22 00:00:00,2022-09-12 00:00:00,flat,short,91,21.0,"fast,medium,slow",3,4,0.009000000000000001,0.009000000000000001,1.2449999999999588,0.35699999999987997,0.082425,3.3955199999999994,0.12000000000000002,4.201095000000079,30.856705862663595,0.04034779362194978,0.13614852533832444,-9.642149999999674,35.48839500000031,-0.31248150865211477,1.1501031625978269
9,2022-09-26 00:00:00,2022-09-30 00:00:00,flat,short,25,4.0,"fast,medium,slow",3,3,0.006,0.006,-22.05600000000013,0.029999999999972715,0.023549999999999998,0.8488800000000001,0.024,-21.2606700000001,22.9100284686582,-0.9627225051323521,-0.9280071401519869,-21.260669999999664,5.192369999998846,-0.9280071401519678,0.22664179606333565
10,2022-10-21 04:00:00,2022-10-21 16:00:00,flat,short,4,0.5,"fast,medium",2,2,0.006,0.006,-17.79600000000005,0.029999999999972715,0.023549999999999998,0.0,0.0,-17.849550000000022,18.14686545031894,-0.9806652310681718,-0.9836161539229523,-17.849550000000818,0.6664500000006228,-0.9836161539229962,0.03672535082299349
11,2022-10-26 08:00:00,2022-10-28 08:00:00,flat,long,13,2.0,fast,1,1,0.003,0.003,-6.71700000000003,0.08999999999998635,0.011774999999999999,-0.3144,0.006,-7.1331750000000165,8.18178456324802,-0.8209700399803125,-0.8718360823189747,-7.1421750000008615,0.0,-0.8729360868389265,0.0
12,2022-11-03 08:00:00,2022-11-04 04:00:00,flat,short,6,0.8333333333333334,fast,1,1,0.004,0.004,-9.235999999999969,0.01999999999998181,0.015700000000000002,0.09432,0.004,-9.177379999999951,9.507403450667674,-0.9714534623384847,-0.9652877410346412,-9.145379999999932,1.8842999999997119,-0.9619219429840943,0.19819291458251764
