id,final_lots,actual_stop_risk,actual_stop_risk_pct,open_before,open_after,override_used,condition,reason
normal_size_large_account,0.030000,97.500000,0.097500,0.000000,97.500000,false,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
normal_size_override_off,0.030000,97.500000,0.097500,0.000000,97.500000,false,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
below_min_override_off,0.000000,0.000000,0.000000,0.000000,0.000000,false,NORMAL_SIZE_BELOW_MINIMUM,OVERRIDE_DISABLED
override_accept_20usd,0.010000,20.000000,0.200000,0.000000,20.000000,true,NORMAL_SIZE_BELOW_MINIMUM,ORDER_ACCEPTED_MINIMUM_OVERRIDE
override_accept_on_cap_50usd,0.010000,50.000000,0.500000,0.000000,50.000000,true,NORMAL_SIZE_BELOW_MINIMUM,ORDER_ACCEPTED_MINIMUM_OVERRIDE
override_reject_sleeve_51usd,0.000000,51.000000,0.510000,0.000000,51.000000,false,NORMAL_SIZE_BELOW_MINIMUM,OVERRIDE_SLEEVE_RISK_EXCEEDED
override_short_symmetric,0.010000,20.000000,0.200000,0.000000,20.000000,true,NORMAL_SIZE_BELOW_MINIMUM,ORDER_ACCEPTED_MINIMUM_OVERRIDE
override_reject_portfolio,0.000000,40.000000,0.400000,70.000000,110.000000,false,NORMAL_SIZE_BELOW_MINIMUM,PORTFOLIO_OPEN_RISK_EXCEEDED
override_accept_on_portfolio_cap,0.010000,40.000000,0.400000,60.000000,100.000000,true,NORMAL_SIZE_BELOW_MINIMUM,ORDER_ACCEPTED_MINIMUM_OVERRIDE
opposing_sleeves_gross,0.000000,20.000000,0.200000,90.000000,110.000000,false,NORMAL_SIZE_BELOW_MINIMUM,PORTFOLIO_OPEN_RISK_EXCEEDED
winning_stop_contributes_zero,0.010000,20.000000,0.200000,0.000000,20.000000,true,NORMAL_SIZE_BELOW_MINIMUM,ORDER_ACCEPTED_MINIMUM_OVERRIDE
with_costs,0.000000,51.000000,0.510000,0.000000,51.000000,false,NORMAL_SIZE_BELOW_MINIMUM,OVERRIDE_SLEEVE_RISK_EXCEEDED
micro_contract,0.050000,10.000000,0.100000,0.000000,10.000000,false,NORMAL_SIZE_OK,ORDER_ACCEPTED_NORMAL_SIZE
coarse_minimum_lot,0.000000,200.000000,2.000000,0.000000,200.000000,false,NORMAL_SIZE_BELOW_MINIMUM,OVERRIDE_SLEEVE_RISK_EXCEEDED
