date,long_swap_usd_per_lot,short_swap_usd_per_lot
2021-12-01,-275.1,123.795
2021-12-02,-91.7,41.265
2021-12-03,-91.7,41.265
2021-12-04,-91.7,41.265
2021-12-05,-91.7,41.265
2021-12-06,-91.7,41.265
2021-12-07,-91.7,41.265
2021-12-08,-275.1,123.795
2021-12-09,-91.7,41.265
2021-12-10,-91.7,41.265
2021-12-11,-91.7,41.265
2021-12-12,-91.7,41.265
2021-12-13,-91.7,41.265
2021-12-14,-91.7,41.265
2021-12-15,-275.1,123.795
2021-12-16,-91.7,41.265
2021-12-17,-91.7,41.265
2021-12-18,-91.7,41.265
2021-12-19,-91.7,41.265
2021-12-20,-91.7,41.265
2021-12-21,-91.7,41.265
2021-12-22,-275.1,123.795
2021-12-23,-91.7,41.265
2021-12-24,-91.7,41.265
2021-12-25,-91.7,41.265
2021-12-26,-91.7,41.265
2021-12-27,-91.7,41.265
2021-12-28,-91.7,41.265
2021-12-29,-275.1,123.795
2021-12-30,-91.7,41.265
2021-12-31,-91.7,41.265
2022-01-01,-91.7,41.265
2022-01-02,-91.7,41.265
2022-01-03,-91.7,41.265
2022-01-04,-91.7,41.265
2022-01-05,-275.1,123.795
2022-01-06,-91.7,41.265
2022-01-07,-91.7,41.265
2022-01-08,-91.7,41.265
2022-01-09,-91.7,41.265
2022-01-10,-91.7,41.265
2022-01-11,-91.7,41.265
2022-01-12,-275.1,123.795
2022-01-13,-91.7,41.265
2022-01-14,-91.7,41.265
2022-01-15,-91.7,41.265
2022-01-16,-91.7,41.265
2022-01-17,-91.7,41.265
2022-01-18,-91.7,41.265
2022-01-19,-275.1,123.795
2022-01-20,-91.7,41.265
2022-01-21,-91.7,41.265
2022-01-22,-91.7,41.265
2022-01-23,-91.7,41.265
2022-01-24,-91.7,41.265
2022-01-25,-91.7,41.265
2022-01-26,-275.1,123.795
2022-01-27,-91.7,41.265
2022-01-28,-91.7,41.265
2022-01-29,-91.7,41.265
2022-01-30,-91.7,41.265
2022-01-31,-91.7,41.265
2022-02-01,-91.7,41.265
2022-02-02,-275.1,123.795
2022-02-03,-91.7,41.265
2022-02-04,-91.7,41.265
2022-02-05,-91.7,41.265
2022-02-06,-91.7,41.265
2022-02-07,-91.7,41.265
2022-02-08,-91.7,41.265
2022-02-09,-275.1,123.795
2022-02-10,-91.7,41.265
2022-02-11,-91.7,41.265
2022-02-12,-91.7,41.265
2022-02-13,-91.7,41.265
2022-02-14,-91.7,41.265
2022-02-15,-91.7,41.265
2022-02-16,-275.1,123.795
2022-02-17,-91.7,41.265
2022-02-18,-91.7,41.265
2022-02-19,-91.7,41.265
2022-02-20,-91.7,41.265
